"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition","NIEM XPath","NIEM Type","NIEM Property, ^Reference, (Representation)","NIEM Base Type","NIEM Multiplicity","Old XPath","Old Multiplicity","NIEM Mapping Notes","Code List Code=Definition;"
"ChildSupportPetitionInformation","case (<directional aggregation>)","","1","A court case related to a child support petition.","domestic:CaseAugmentation/hs:PersonCaseAssociation/hs:ChildSupportEnforcementCase","hs:PersonCaseAssociationType","^nc:Case","nc:CaseType","0,1","domestic:DomesticCase/domestic:DomesticCaseChildSupportPetition","0,1","",""
"Citation","","","","A charge issued by a law enforcement officer for a ""violation"" requiring the person charged to plead guilty to the charge or to appear in court to contest the charge.  A citation is issued in lieu of an arrest and booking.  ""Violations"" are a subset of ""charges"" for which a law enforcement officer is authorized to issue a citation in lieu of arrest and booking.  Examples:  traffic ticket, parking ticket or ticket issued for some other ordinance violation such as barking dog or illegal dumping.
","citation:CaseAugmentation","nc:CaseType","nc:CaseAugmentationPoint, (^citation:CaseAugmentation)","citation:CaseAugmentationType","1,unbounded","citation:CitationAugmentation","","",""
"Citation","citationAgency (<directional aggregation>)","","","The law enforcement agency employing the law enforcement officer who issued this citation.","citation:CaseAugmentation/j:Citation/j:CitationAgency","j:CitationType","^j:CitationAgency","nc:OrganizationType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationAgency","0,1","",""
"Citation","citationCourtAppearance (<directional aggregation>)","","0..1","Representation of when the offender is required to appear in court on this citation.","citation:CaseAugmentation/j:CourtAppearance","citation:CaseAugmentationType","j:CourtAppearance","j:CourtAppearanceType","0,1","citation:CitationCaseAugmentation/j:CourtAppearance","0,1","",""
"Citation","citationIssuringOfficial (<directional aggregation>)","","","The law enforcement official issuing a citation.","citation:CaseAugmentation/j:Citation/j:CitationIssuingOfficial","j:CitationType","j:CitationIssuingOfficial","j:EnforcementOfficialType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationIssuingOfficial","0,1","",""
"Citation","citationNumber","int",""," A sequential number preprinted on the citation form which serves as the ticket number","citation:CaseAugmentation/j:Citation/nc:ActivityIdentification","nc:ActivityType","nc:ActivityIdentification","nc:IdentificationType","0,1","citation:CitationCaseAugmentation/j:Citation/nc:ActivityIdentification","0,unbounded","",""
"Citation","correctableOffenseIndicator","bool","","True if a citation can be dismissed if certain conditions are met; false otherwise.","citation:CaseAugmentation/j:Citation/j:CitationDismissalConditionIndicator","j:CitationType","j:CitationDismissalConditionIndicator","niem-xs:boolean","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationDismissalConditionIndicator","0,1","",""
"Citation","correctableOffenseText","string","","A condition to be met that can make a citation eligible for dismissal.","citation:CaseAugmentation/j:Citation/j:CitationDismissalConditionText","j:CitationType","j:CitationDismissalConditionText","nc:TextType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationDismissalConditionIndicator","0,1","",""
"Citation","dateOfCitationIssue","date","","date citation was issued","citation:CaseAugmentation/j:Citation/nc:ActivityDate","nc:ActivityType","nc:ActivityDate","nc:DateType","0,1","citation:CitationCaseAugmentation/j:Citation/nc:ActivityDate","0,1","",""
"Citation","drivingIncident (<directional aggregation>)","","0..1","The incident from which this traffic ticket arose.","citation:CaseAugmentation/j:DrivingIncident","citation:CaseAugmentationType","j:DrivingIncident","j:DrivingIncidentType","0,1","citation:CitationCaseAugmentation/citation:DrivingIncident","0,1","",""
"Citation","narrativeSummaryOfViolation","string","","A narrative description of the facts and circumstances for which a citation was issued","citation:CaseAugmentation/j:DrivingIncident/nc:ActivityDescriptionText","nc:ActivityType","nc:ActivityDescriptionText","nc:TextType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationViolation/nc:ActivityDescriptionText","0,1","",""
"Citation","offender (<directional aggregation>)","","","A person named in a citation alleged to have violated a statute or ordinance.","citation:CaseAugmentation/j:Citation/j:CitationSubject","j:CitationType","j:CitationSubject","j:SubjectType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationSubject","0,1","",""
"Citation","officialPresentForIncidentIndicator","bool","","A yes/no indicator that the issuing officer did or did not personally witness the act for which the citation is issued.
","citation:CaseAugmentation/j:DrivingIncident/j:IncidentAugmentation/j:IncidentOfficialPresentIndicator","j:IncidentAugmentationType","j:IncidentOfficialPresentIndicator","niem-xs:boolean","0,1","citation:CitationCaseAugmentation/citation:DrivingIncident/j:IncidentAugmentation/j:IncidentOfficialPresentIndicator","0,1","",""
"Citation","parkingViolationInformation (<directional aggregation>)","","0..1","Information about a parking violation.","citation:CaseAugmentation/citation:ParkingViolation","citation:CaseAugmentationType","citation:ParkingViolation","citation:ParkingViolationType","0,1","citation:CitationCaseAugmentation/citation:ParkingViolationInformation","0,1","",""
"Citation","timeOfViolation","dateTime","","Date and time of day that a violation occurred.  ","citation:CaseAugmentation/j:DrivingIncident/j:ActivityDate","nc:ActivityType","nc:ActivityDate","nc:DateType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationViolation/j:ActivityDate","0,1","",""
"Citation","violatedStatute (<directional aggregation>)","","","Details about a statute that has been violated and associated information.","citation:CaseAugmentation/j:IncidentViolatedStatuteAssociation","citation:CaseAugmentationType","j:IncidentViolatedStatuteAssociation","j:ViolatedStatuteAssociationType","0,unbounded","citation:CitationCaseAugmentation/j:ViolatedStatuteAssociation","0,unbounded","",""
"Citation","violationLocation","address","","The place where an alleged violation occurred.","citation:CaseAugmentation/j:Citation/j:CitationViolation/nc:IncidentLocation","nc:IncidentType","^nc:IncidentLocation","nc:LocationType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationIssuedLocation","0,1","",""
"Citation","charge","","*","A charge association with a citation.","nc:Case/j:CaseAugmentation/j:Charge","j:CaseAugmentationType","^j:CaseCharge","j:ChargeType","0,unbounded","citation:CitationAugmentation/j:CaseCharge","0,unbounded","",""
"Citation","citation","","0..1","A citation.","citation:CaseAugmentation/j:Citation","citation:CaseAugmentationType","j:Citation","j:CitationType","1,1","citation:CitationAugmentation/j:Citation","1,1","",""
"CitationAgency","","","","The law enforcement agency employing the law enforcement officer who issues a citation.","citation:CaseAugmentation/j:Citation/j:CitationAgency","nc:OrganizationType","","structures:ObjectType","","citation:CitationCaseAugmentation/j:Citation/j:CitationAgency","0,1","",""
"CitationAgency","lawEnforcementAgencyName","string","","Name of agency of charging law enforcement officer.  May include local agency with responsibility for enforcement of local ordinance which is not a traditional law enforcement agency, such as park or recreation department or animal control department.
","citation:CaseAugmentation/j:Citation/j:CitationAgency/nc:OrganizationName","nc:OrganizationType","nc:OrganizationName","nc:TextType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationAgency/nc:OrganizationName","0,1","",""
"CitationAgency","lawEnforcementAgencyORIID","id",""," ORIID of agency of charging law enforcement officer","citation:CaseAugmentation/j:Citation/j:CitationAgency/j:OrganizationAugmentation/j:OrganizationORIIdentifation","nc:OrganizationType","nc:OrganizationIdentification, (j:OrganizationORIIdentification)","nc:IdentificationType","0,1","criminal:CriminalCase/criminal:CaseArrest/criminal:ArrestAgency/j:OrganizationAugmentation/j:OrganizationIIdentifation","1,1","",""
"CitationAgency","lawEnforcementAgencyReportingDistrict","string","","An indicator of an area designated by local authorities for citation reporting purposes.  Allowable values are set forth in Court Policy.
","citation:CaseAugmentation/j:Citation/j:CitationAgency/nc:OrganizationSubunitName","nc:OrganizationType","nc:OrganizationSubUnitName","nc:TextType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationAgency/nc:OrganizationSubunitName","0,1","",""
"CitationAgency","lawEnforcementAgencyStation","string",""," Name of an agency local office","citation:CaseAugmentation/j:Citation/j:CitationAgency/nc:OrganizationUnitName","nc:OrganizationType","nc:OrganizationUnitName","nc:TextType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationAgency/nc:OrganizationUnitName","0,1","",""
"CitationCourtAppearance","","","","Representation of when the offender is required to appear in court.","citation:CaseAugmentation/j:CourtAppearance","j:CourtAppearanceType","","structures:ObjectType","","citation:CitationCaseAugmentation/j:CourtAppearance","","",""
"CitationCourtAppearance","timeOfCourtAppearance","dateTime","","Date and time at which defendant needs to appear at the court
","citation:CaseAugmentation/j:CourtAppearance/j:CourtAppearanceDate","j:CourtAppearanceType","j:CourtAppearanceDate","nc:DateType","0,1","citation:CitationCaseAugmentation/j:CourtAppearance/j:CourtAppearanceDate","0,1","",""
"CitationIssuingOfficial","","","","The law enforcement official issuing a citation.","citation:CaseAugmentation/j:Citation/j:CitationIssuingOfficial","j:EnforcementOfficialType","","structures:ObjectType","","citation:CitationCaseAugmentation/j:Citation/j:CitationIssuingOfficial","0,1","",""
"CitationIssuingOfficial","citationAgency (<directional aggregation>)","","","The law enforcement agency employing the law enforcement officer who issues a citation","citation:CaseAugmentation/j:Citation/j:CitationIssuingOfficial/j:EnforcementOfficialUnit","j:EnforcementOfficialType","j:EnforcementOfficialUnit","j:EnforcementUnitType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationIssuingOfficial/j:EnforcementOfficialUnit","0,1","",""
"CitationIssuingOfficial","officerBadgeNumber","id","","The badge number of the officer issuing citation","citation:CaseAugmentation/j:Citation/j:CitationIssuingOfficial/j:EnforcementOfficialBadgeIdentification","j:EnforcementOfficialType","j:EnforcementOfficialBadgeIdentification","nc:IdentificationType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationIssuingOfficial/j:EnforcementOfficialBadgeIdentification","0,1","",""
"CitationIssuingOfficial","officerName","name","","The name of the law enforcement officer.
","citation:CaseAugmentation/j:Citation/j:CitationIssuingOfficial/nc:PersonFullName","j:EnforcementOfficialType","nc:RoleOfPerson","nc:PersonNameTextType","1,1","citation:CitationCaseAugmentation/j:Citation/j:CitationIssuingOfficial/nc:RoleOfPersonReference","0,1","",""
"CitationIssuingOfficial","unavailableScheduleDescription","string","","Unavailable dates for officer issuing citation (e.g. due to vacation).","citation:CaseAugmentation/j:Citation/j:CitationIssuingOfficial/j:EnforcementOfficialUnavailableSchedule","j:EnforcementOfficialType","j:EnforcementOfficialUnavailableSchedule","nc:ScheduleDayType","0,1","citation:CitationCaseAugmentation/j:Citation/j:CitationIssuingOfficial/j:EnforcementOfficialUnavailableSchedule","0,unbounded","",""
"CivilAppellateCaseInformation","","","","Additional information specific to civil appellate cases.","appellate:CaseAugmentation","appellate:CaseAugmentationType","","structures:ObjectType","","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCivilCase","0,1","",""
"CivilAppellateCaseInformation","feesWaivedIndicator","bool","","Indicator that filing fees were waived or deferred in the case in the lower court.","appellate:CaseAugmentation/appellate:FeesWaivedIndicator","appellate:CaseAugmentationType","appellate:FeesWaivedIndicator","niem-xs:boolean","0,1","j:AppellateCase/appellate:AppellateCaseAugmentation/appellate:AppellateCivilCase/appellate:FeesWaivedIndicator","0,1","",""
"CivilCaseInformation","","","","Information required to initiate a new civil case in a court.  ""Civil"" includes conservatorships, guardianships, mental health and probate.","nc:Case","nc:CaseType","nc:CaseAugmentationPoint, (^civil:CaseAugmentation)","civil:CaseAugmentationType","1,unbounded","civil:CivilCase","","",""
"CivilCaseInformation","causeOfActionCode","code","","The legal ground on which the request for relief is based.  Allowed values set forth in court policy. Example: the basis(es) for relief in a civil case; the grounds for divorce in a state that does not recognize no-fault divorce; grounds for entry of an order of protection in a domestic violence case.","civil:CaseAugmentation/ecf:CauseOfActionCode","civil:CaseAugmentationType","ecf:CauseOfActionCode","nc:TextType","1,1","civil:CivilCase/ecf:CauseOfActionCode","1,unbounded","Genericode code list CauseOfActionCode.gc","Court-specific code list"
"CivilCaseInformation","amountInControversy","amount","","The amount set forth in an ad damnum clause in a complaint, counter claim, or cross complaint.","civil:CaseAugmentation/civil:AmountInControversy","civil:CaseAugmentationType","civil:AmountInControversy","nc:AmountType","0,1","civil:CivilCase/civil:AmountInControversy","0,1","",""
"CivilCaseInformation","classActionIndicator","bool","","Whether the filer is requesting that this case proceed as a class action.","civil:CaseAugmentation/civil:ClassActionIndicator","civil:CaseAugmentationType","civil:CivilClassActionIndicator","niem-xs:boolean","0,1","civil:CivilCase/civil:ClassActionIndicator","1,1","",""
"CivilCaseInformation","decedentEstateCaseInformation (<directional aggregation>)","","0..1","Information about a case administering and distributing the assets of a testate or intestate decedent.","civil:CaseAugmentation/civil:DecedentEstateCase","civil:CaseAugmentationType","civil:DecedentEstateCase","civil:DecedentEstateCaseType","0,1","civil:CivilCase/civil:DecendentEstateCase","0,1","",""
"CivilCaseInformation","fiduciaryCaseInformation (<directional aggregation>)","","0..1","InfInformation about a guardianship, conservatorship, trust, or mental health case.","civil:CaseAugmentation/civil:FiduciaryCase","civil:CaseAugmentationType","civil:FiduciaryCaseAssociation","civil:FiduciaryCaseAssociationType","0,1","civil:CivilCase/civil:FiduciaryCase","0,1","",""
"CivilCaseInformation","initiatingPartyCitizenshipTypeCode","code","","Used for Federal court purposes: a code designating the state or country of citizenship for purposes of applying Federal diversity of citizenship jurisdictional rules. Allowable values set forth in court policy.","nc:Case/j:CaseAugmentation/j:CaseInitiatingParty/nc:PersonCitizenship","nc:PersonType","nc:PersonCitizenshipAbstract, (nc:PersonCitizenshipISO3166Alpha2Code)","fips_10-4:CountryCodeType","0,unbounded","civil:CivilCase/j:CaseAugmentation/j:CaseInitiatingParty/nc:EntityPerson/nc:PersonCitizenship","0,unbounded","",""
"CivilCaseInformation","jurisdictionalGroundsCode","code","","The grounds for invoking the jurisdiction of a limited jurisdiction court.  Allowed values set forth in Court policy. Not used in general jurisdiction courts.","civil:CaseAugmentation/civil:JurisdictionalGroundsCode","civil:CaseAugmentationType","civil:JurisdictionalGroundsCode","nc:TextType","0,1","civil:CivilCase/civil:JurisdictionalGroundsCode","0,unbounded","Genericode code list JurisdictionGroundsCode.gc","Court-specific code list"
"CivilCaseInformation","juryDemandIndicator","bool","","Whether filer invokes the right to trial by jury.","civil:CaseAugmentation/civil:JuryDemandIndicator","civil:CaseAugmentationType","civil:JuryDemandIndicator","niem-xs:boolean","0,1","civil:CivilCase/civil:JuryDemandIndicator","1,1","",""
"CivilCaseInformation","reliefTypeCode","code","","Indicator of the type of relief requested in the case, e.g., damages, equitable relief (injunction).  Allowable values defined in Court Policy.","civil:CaseAugmentation/civil:ReliefTypeCode","civil:CaseAugmentationType","civil:ReliefTypeCode","nc:TextType","1,unbounded","civil:CivilCase/civil:ReliefTypeCode","1,unbounded","Genericode code list ReliefTypeCode.gc","Court-specific code list"
"CivilCaseInformation","respondingPartyCitizenshipTypeCode","code","","Used for Federal court purposes: a code designating the state or country of citizenship for purposes of applying Federal diversity of citizenship jurisdictional rules.  Allowable values set forth in court policy.","nc:Case/j:CaseAugmentation/j:CaseRespondingParty/nc:PersonCitizenship","nc:PersonType","nc:PersonCitizenshipAbstract, (nc:PersonCitizenshipISO3166Alpha2Code)","fips_10-4:CountryCodeType","0,unbounded","civil:CivilCase/j:CaseAugmentation/j:CaseRespondingParty/nc:EntityPerson/nc:PersonCitizenship","0,unbounded","",""
"CivilPerson","","","","Information about the person for whom another person or organization is assuming a fiduciary obligation.","nc:Person","nc:PersonType","","structures:ObjectType","","nc:Person","","",""
"CivilPerson","dateOfBirth","date","","The date on which a person was born.","nc:Person/nc:PersonBirthDate","nc:PersonType","nc:PersonBirthDate","nc:DateType","0,1","nc:Person/nc:PersonBirthDate","0,1","",""
"CivilPerson","ethnicityCode","code","","A NIBRS code representing the nation or cultural group to which a referenced subject belongs.","nc:Person/j:PersonEthnicityCode","nc:PersonType","nc:PersonEthnicityAbstract, (j:PersonEthnicityCode)","","0,1","nc:Person/nc:PersonEthnicityCode","0,1","",""
"CivilPerson","height","float","","A measurement of the height of a person.","nc:Person/nc:PersonHeightMeasure/nc:MeasureDecimalValue","nc:PersonType","nc:PersonHeightMeasure","nc:MeasureType","0,1","nc:Person/nc:PersonHeightMeasure/nc:MeasureValue","0,1","",""
"CivilPerson","personID","id","","The unique identifier assigned by the court at the time a person is first associated with a case. If the court has not yet assigned an identifier in this case, then the filing assembly MDE will leave this element blank.  This identifier is used to link other information in the case to a particular person.","nc:Person/nc:PersonOtherIdentification","nc:PersonType","nc:PersonOtherIdentification","nc:IdentificationType","0,unbounded","nc:Person/nc:PersonOtherIdentification","0,unbounded","",""
"CivilPerson","raceCode","code","","A designation by the FBI categorizing individuals by physical characteristics.   (e.g., American Indian or Alaskan native, Asian or Pacific Islander, Black, White, Unknown).","nc:Person/j:PersonRaceCode","nc:PersonType","nc:PersonRaceAbstract, (j:PersonRaceCode)","","0,1","nc:Person/nc:PersonRaceCode","0,1","",""
"CivilPerson","relationshipToFiduciary","string","","Description of the relationship of this person to the fiduciary (i.e., the initiating party).","domestic:CaseAugmentation/hs:PersonCaseAssociation/nc:AssociationDescriptionText","nc:AssociationType","nc:AssociationDescriptionText","nc:TextType","0,1","civil:CivilCase/civil:FiduciaryCase/civil:PersonFiduciaryAssociation/civil:PersonFiduciaryAssociationTypeText","1,1","",""
"CivilPerson","sexCode","code","","A code identifying the gender or sex of a person.","nc:Person/j:PersonSexCode","nc:PersonType","nc:PersonSexAbstract, (j:PersonSexCode)","","0,1","nc:Person/nc:PersonSexCode","0,1","",""
"CivilPerson","weight","float","","A measurement of the weight of a person.","nc:Person/nc:PersonWeightMeasure/nc:MeasureDecimalValue","nc:PersonType","nc:PersonWeightMeasure","nc:MeasureType","0,1","nc:Person/nc:PersonWeightMeasure/nc:MeasureValue","0,1","",""
"ConnectedDocument","","","","A document included in a Filing that supports the lead Document.  This document is not separately entered on the docket or register of actions.","ecf:ReviewedDocument/ecf:ReviewedDocumentAugmentation/nc:DocumentAssociation","ecf:ReviewedDocumentAugmentationType","^nc:DocumentAssociation","nc:DocumentAssociationType","0,1","nc:Case/j:CaseAugmentation/ecf:CaseCourtEvent/ecf:CourtEventDocument/ecf:ConnectedDocument","0,unbounded","",""
"ConnectedDocument","docketDocumentID","id","","Identifier that uniquely identifies the document in the court record.","nc:Document/ecf:DocumentAugmentation/nc:DocumentAssociation/nc:SecondaryDocument/nc:DicumentIdentification/nc:IdenificationID, nc:DocumentAssociation/nc:PrimaryDocument/nc:DicumentIdentification/nc:IdenificationID","nc:DocumentAssociationType","^nc:PrimaryDocument","nc:DocumentType","0,1","nc:Document/nc:DocumentIdentification","0,unbounded","",""
"ContactInformation","","","","The preferred contact for a person or organization, such as address, telephone number, or email address.","nc:Person/ecf:PersonAugmentation/nc:ContactInformation","ecf:PersonAugmentationType","^nc:ContactInformation","nc:ContactInformationType","0,unbounded","nc:ContactInformation/nc:ContactMeans","0,unbounded","",""
"ContactInformation","emailAddress","string","*","An email address.","nc:Person/ecf:PersonAugmentation/nc:ContactInformationAssociation/nc:ContactInformation","nc:ContactInformationType","nc:ContactMeansAbstract, (nc:ContactEmailID)","niem-xs:string","0,unbounded","nc:ContactInformation/nc:ContactEmailID","0,unbounded","",""
"ContactInformation","mailingAddress (<directional aggregation>)","","","A mailing address.","nc:Person/ecf:PersonAugmentation/nc:ContactInformationAssociation/nc:ContactInformation","nc:ContactInformationType","nc:ContactMeansAbstract, (nc:ContactMailingAddress)","nc:AddressType","0,unbounded","nc:ContactInformation/nc:ContactMailingAddress","0,unbounded","",""
"ContactInformation","telephoneNumber (<directional aggregation>)","","","A telephone number.","nc:Person/ecf:PersonAugmentation/nc:ContactInformationAssociation/nc:ContactInformation","nc:ContactInformationType","nc:ContactMeansAbstract, (nc:ContactTelephoneNumber)","nc:TelephoneNumberType","0,unbounded","nc:ContactInformation/nc:ContactTelephoneNumber","0,unbounded","",""
"ContactInformation","contactDescription","string","0..1","A description of a contact.","nc:Person/ecf:PersonAugmentation/nc:ContactInformation","nc:ContactInformationType","nc:ContactEntityDescriptionText, nc:ContactInformationDescriptionText","nc:TextType","0,1","nc:ContactInformation/nc:ContactEntityDescriptionText, nc:ContactInformationDescriptionText","0,1","",""
"ContactInformation","organizationContactUse","","0..1","How the contact information should be used (e.g. primary, only for emergency, only during day/evening/night)","nc:Person/ecf:PersonAugmentation/nc:ContactInformation","nc:ContactInformationType","nc:ContactInformationAvailabilityAbstract, (nc:ContactInformationAvailabilityCode)","core_misc:ContactInformationAvailabilityCodeType","0,1","nc:Organization/ecf:OrganizationAugmentation/nc:OrganizationContactInformationAssociation/nc:ContactInformationIsPrimaryIndicator, nc:ContactInformationIsEmergencyIndicator, nc:ContactInformationIsDayIndicator, nc:ContactInformationIsEveningIndicator, nc:ContactInformationIsNightInidcator","0,1","",""
"ContactInformation","personContactUse","","0..1","How the contact information should be used (e.g. home, work, only for emergency, only during day/evening/night)","nc:Person/ecf:PersonAugmentation/nc:ContactInformation","nc:ContactInformationType","nc:ContactEntity","nc:EntityType","0,1","nc:Person/ecf:PersonAugmentation/nc:PersonContactInformationAssociation/nc:ContactInformationIsPrimaryIndicator, nc:ContactInformationIsHomeIndicator, nc:ContactInformationIsWorkIndicator, nc:ContactInformationIsEmergencyIndicator, nc:ContactInformationIsDayIndicator, nc:ContactInformationIsEveningIndicator, nc:ContactInformationIsNightInidcator","0,1","",""
"ContactInformation","responder","string","0..1","A person who responds to calls on behalf of the contact.","nc:Person/ecf:PersonAugmentation/nc:ContactInformationAssociation/nc:ContactInformation","nc:ContactInformationType","^nc:ContactResponder","nc:PersonType","0,1","nc:ContactInformation/nc:ContactResponder","0,1","",""
"ContactInformation","organization (<directional aggregation>)","","","An organization associated with the contact information.","nc:Organization/ecf:OrganizationAugmentation/nc:ContactInformation","ecf:OrganizationAugmentationType","nc:ContactInformation","nc:ContactInformationType","0,unbounded","nc:Organization/ecf:OrganizationAugmentation/nc:OrganizationContactInformationAssociation/nc:ContactInformation","0,unbounded","",""
"ContactInformation","person (<directional aggregation>)","","","An organization associated with the contact information.","nc:Person/ecf:PersonAugmentation/nc:ContactInformation","ecf:PersonAugmentationType","nc:ContactInformation","nc:ContactInformationType","0,unbounded","nc:Person/ecf:PersonAugmentation/nc:PersonContactInformationAssociation/nc:ContactInformation","0,unbounded","",""
"CoreCodelist","","","","The list in Court Policy of data elements and corresponding lists of valid codes for those elements in a particular court.","policyresponse:GetPolicyResponseMessage/policyresponse:RuntimePolicy/policyresponse:CodeListExtension","policyresponse:CodeListExtensionType","","policyresponse:ExtensionType","","policyresponse:CourtPolicyResponseMessage/policyresponse:RuntimePolicyParameters/policyresponse:CoreCodelist","1,unbounded","",""
"CoreCodelist","allowedCodeValues (<directional aggregation>)","","*","A value allowed for the parent identified element, and associated information","policyresponse:GetPolicyResponseMessage/policyresponse:RuntimePolicy/policyresponse:CodeListExtension","policyresponse:CodeListExtensionType","","policyresponse:ExtensionType","","policyresponse:CourtPolicyResponseMessage/policyresponse:RuntimePolicyParameters/policyresponse:CoreCodelist","0,1","",""
"CoreCodelist","elementName","string","","The data element for which an allowable set of values is enumerated.","policyresponse:GetPolicyResponseMessage/policyresponse:RuntimePolicy/policyresponse:CodeListExtension/policyresponse:ExtensionURI","policyresponse:CodeListExtensionType","policyresponse:ECFElementNameText","nc:TextType","0,1","policyresponse:CourtPolicyResponseMessage/policyresponse:RuntimePolicyParameters/policyresponse:CoreCodelist","","",""
"CoreFilingMessage","","","","The structure of a Filing including any Payment Information will be documented in this section. This describes the filing transaction between the Filing Assembly MDE and the Filing Review MDE. This information will become part of the Record Docketing between the Filing Review MDE and the Court Record MDE but does not necessarily describe the information that is actually stored in the Court Record.","filing:FilingMessage","filing:FilingMessageType","","ecf:CaseFilingType","","core:CoreFilingMessage","","",""
"CoreFilingMessage","case (<directional aggregation>)","","1","Information needed to initiate a court case.","filing:FilingMessage/nc:Case","filing:FilingMessageType","nc:Case","nc:CaseType","1,1","core:CoreFilingMessage/nc:Case","1,1","",""
"CoreFilingMessage","confidentialityIndicator","bool","","Indicator by the filer that something in the message requires sensitive or confidential treatment.  (This replaces the former ""request to seal"" document metadata.)","filing:FilingMessage/ecf:DocumentAugmentation/nc:Metadata/nc:SensitivityText","nc:MetadataType","nc:SensitivityText","nc:TextType","0,1","core:CoreFilingMessage/core:FilingConfidentialityIndicator","0,1","Genericode code list SensitivityText.gc","unsecured=access is available to all filers; restricted=access is limited to certain filers; secured=access is unavailable to all filers;"
"CoreFilingMessage","connectedDocument (<directional aggregation>)","","*","A document included in a Filing that supports the Document.  This document is not separately entered on the docket or register of actions.","filing:FilingMessage/filing:FilingConnectedDocument","filing:FilingMessageType","^filing:FilingConnectedDocument","nc:DocumentType","0,unbounded","core:CoreFilingMessage/core:FilingConnectedDocument","0,unbounded","",""
"CoreFilingMessage","leadDocument (<directional aggregation>)","","1..*","The pleading, motion or order that is the main document in a Filing. A Document may have Attachments.","filing:FilingMessage/filing:FilingLeadDocument","filing:FilingMessageType","^filing:FilingLeadDocument","nc:DocumentType","1,unbounded","core:CoreFilingMessage/core:FilingLeadDocument","1,unbounded","",""
"CoreFilingMessage","messageExtension","extension","*","An extension point for the enclosing message.","filing:FilingMessage/filing:FilingMessageAugmentationPoint","filing:FilingMessageType","filing:FilingMessageAugmentationPoint","abstract","0,unbounded","","","",""
"Court","","","","A person or body of persons whose task is to hear and submit a decision on cases at law.","nc:Case/j:CaseAugmentation/j:CaseCourt","j:CourtType","","nc:OrganizationType","","nc:Case/j:CaseAugmentation/j:CaseCourt","1,1","",""
"Court","courtID","id","","A unique identifier for a court.  Court identifiers are established for all of the courts within a state by the highest judicial administrative authority within the state and for the federal courts by the Administrative Office of United States Courts.","nc:Case/j:CaseAugmentation/j:CaseCourt/nc:OrganizationIdentification","nc:OrganizationType","nc:OrganizationIdentification","nc:IdentificationType","0,1","nc:Case/j:CaseAugmentation/j:CaseCourt/nc:OrganizationIdentification","0,1","",""
"Court","courtName","string","","Official name of the court.","nc:Case/j:CaseAugmentation/j:CaseCourt/j:CourtName","j:CourtType","j:CourtName","nc:TextType","0,1","nc:Case/j:CaseAugmentation/j:CaseCourt/j:CourtName","0,1","",""
"Court","courtExtension","","0,unbounded","An extension point for court","nc:Case/j:CaseAugmentation/j:CaseCourt/j:CourtAugmentationPoint","j:CourtType","j:CourtAugmentationPoint","","0,unbounded","","","",""
"CourtDate","","","","","requestdateresponse:CourtDate","requestdateresponse:CourtDateType","","structures:ObjectType","","","","",""
"CourtDate","calendarEvent","","0..1","An event to add to a calendar	","requestdateresponse:CourtDate/xcal:icalendar/xcal:xcalendar/xcal:components/xcal:vevent","requestdateresponse:CourtDateType","xcal:icalendar","xcal:IcalendarType","0,1","","","",""
"CourtDate","eventLocation","string","1","A court location","requestdateresponse:CourtDate/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtLocationCode","ecf:CourtEventAugmentationType","ecf:CourtLocationCode","nc:TextType","0,1","","","",""
"CourtDate","endTime","","1","The end date and time of a court event","requestdateresponse:CourtDate/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/j:CourtEventSchedule/nc:ScheduleDayEndTime","nc:ScheduleDayType","nc:ScheduleDayEndTime","niem-xs:time","0,1","","","",""
"CourtDate","startTime","","1","The start date and time of a court event","requestdateresponse:CourtDate/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/j:CourtEventSchedule/j:ScheduleDayStartTime","nc:ScheduleDayType","nc:ScheduleDayStartTime","niem-xs:time","0,1","","","",""
"CourtDate","eventType","niem","1","A type of court event","requestdateresponse:CourtDate/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtEventTypeCode","ecf:CourtEventAugmentationType","ecf:CourtEventTypeCode","nc:TextType","1,1","","","",""
"CourtDate","case (<directional aggregation>)","","0..1","","requestdateresponse:CourtDate/nc:Case","requestdateresponse:CourtDateType","nc:Case","nc:CaseType","0,1","","","",""
